Publication Year,Author,doi,Title,Method,Level,Application,Country,Journal,Manual Tags,Note 1,Note 2,Review notes,year,month,day,journal,issn,volume,issue,pages,abstract,doi.1,keywords
2024,"de Jong, Niels; Aslan, Ayse; Bakir, Ilke",10.1016/j.trc.2024.104625,Dynamic service of geographically dispersed time-sensitive demands,2. Deep Learning,C. Response Zone,,Netherlands,JAMA Netw Open,*Emergency Medical Dispatch; *Machine Learning; Aged; Denmark; Double-Blind Method; Female; Humans; Male; Out-of-Hospital Cardiac Arrest/*diagnosis,,,,2024,,,Transportation Research Part C: Emerging Technologies,0968090X,163.0,,,"This paper presents a new framework that models the novel dynamic vehicle dispatch problem with holding costs (DVDPHC), which focuses on serving stochastic demands at geographically dispersed locations in a timely manner. This framework is applicable, among others, to the post-disaster ambulance bus routing problem, where an ambulance bus must pick up (urgent) patients at geographically dispersed locations and bring them to a centrally-located hospital as quickly as possible. Solving the DVDPHC requires a dynamic decision-making rule at each decision moment for which demands to serve at the current location, and where to direct the vehicle next. We propose a heuristic based on approximate dynamic programming combined with a neural network (ADP-NN) for effectively solving the DVDPHC. Numerical experiments demonstrate that our proposed method is fast, scalable and robust. Furthermore, it keeps up with computationally heavy direct lookahead (DLA) benchmarks on 120 large representative instances, achieving on average 12.77% total cost improvement. Numerical analysis also reveals that our proposed method exhibits complex self-learned flexible behavior, such as waiting near locations in anticipation of new demand. ¬© 2024 The Author(s)",10.1016/j.trc.2024.104625,Approximate dynamic programming;Collection problem;Dynamic vehicle routing;Genetic algorithm;Time-sensitive products;Vehicle dispatch problem;Ambulances;Decision making;Dynamic programming;Location;Numerical methods;Routing algorithms;Stochastic models;Stochastic systems;Dispatch problems;Dynamic services;Geographically dispersed locations;Holding costs;Time-sensitive product;Vehicle dispatch;artificial neural network;benchmarking;bus transport;stochasticity;transport vehicle;Genetic algorithms
2023,"de Koning, E.; van der Haas, Y.; Saguna, S.; Stoop, E.; Bosch, J.; Beeres, S.; Schalij, M.; Boogers, M.",10.2196/51375,AI Algorithm to Predict Acute Coronary Syndrome in Prehospital Cardiac Care: Retrospective Cohort Study,1. Classical Machine Learning,D. On Scene Zone,,Netherlands,International Transactions in Operational Research,ambulance stations; emergency medical services; fleet model; location; relocation; service; system,Triage,,,2023,10.0,31.0,JMIR Cardio,2561-1011 (Electronic)     2561-1011 (Linking),7.0,,e51375,"BACKGROUND: Overcrowding of hospitals and emergency departments (EDs) is a growing problem. However, not all ED consultations are necessary. For example, 80% of patients in the ED with chest pain do not have an acute coronary syndrome (ACS). Artificial intelligence (AI) is useful in analyzing (medical) data, and might aid health care workers in prehospital clinical decision-making before patients are presented to the hospital. OBJECTIVE: The aim of this study was to develop an AI model which would be able to predict ACS before patients visit the ED. The model retrospectively analyzed prehospital data acquired by emergency medical services' nurse paramedics. METHODS: Patients presenting to the emergency medical services with symptoms suggestive of ACS between September 2018 and September 2020 were included. An AI model using a supervised text classification algorithm was developed to analyze data. Data were analyzed for all 7458 patients (mean 68, SD 15 years, 54% men). Specificity, sensitivity, positive predictive value (PPV), and negative predictive value (NPV) were calculated for control and intervention groups. At first, a machine learning (ML) algorithm (or model) was chosen; afterward, the features needed were selected and then the model was tested and improved using iterative evaluation and in a further step through hyperparameter tuning. Finally, a method was selected to explain the final AI model. RESULTS: The AI model had a specificity of 11% and a sensitivity of 99.5% whereas usual care had a specificity of 1% and a sensitivity of 99.5%. The PPV of the AI model was 15% and the NPV was 99%. The PPV of usual care was 13% and the NPV was 94%. CONCLUSIONS: The AI model was able to predict ACS based on retrospective data from the prehospital setting. It led to an increase in specificity (from 1% to 11%) and NPV (from 94% to 99%) when compared to usual care, with a similar sensitivity. Due to the retrospective nature of this study and the singular focus on ACS it should be seen as a proof-of-concept. Other (possibly life-threatening) diagnoses were not analyzed. Future prospective validation is necessary before implementation.",10.2196/51375,Hollands Midden Acute Regional Triage-cardiology;acute coronary syndrome;algorithm;angina;artificial intelligence;cardiology;clinical decision-making;emergency department;emergency medical service;natural language processing;overcrowding;paramedics;prehospital;triage
2024,"del Campo-Ávila, José; Ramos-Martín, Javier; Gómez-Sánchez-Lafuente, Carlos; García-Pedrosa, Johanna; García-Martín, Saúl; Martínez-García, Ana I.; Guzmán-Parra, José; Morales-Bueno, Rafael; Moreno-Küstner, Berta",10.1016/j.engappai.2024.108910,Data mining process to detect suicidal behaviour in out-of-hospital emergency departments,5. Ensemble / Proprietary,B. Dispatch Zone,,Spain,Risk Manag Healthc Policy,genetic algorithm; emergency medical care; EMS location; location set covering problem,Detect suicidal behaviour,,,2024,,,Engineering Applications of Artificial Intelligence,9521976,136.0,,,"Out-of-hospital emergency departments receive multiple types of requests daily. Their management requires a balance to be found between available resources and the actual needs of the requesting party. Those regarding suicidal behaviour, which are resource heavy, are few in number in terms of the bulk of requests, and detecting them correctly is therefore important. Previous research, using machine learning algorithms to analyse suicide, has typically focused on discovering insights to be used by medical personnel. This proposal extends its use in two directions: knowledge that can be used by non-exclusively medical staff, such as telephone operators, and the models that have been incorporated into a software prototype to help in the decision-making of an emergency department. In addition, previous research has often included a range of information from different sources that are not available when processing an emergency call request, for example, data that is only obtained at the end of the intervention. A full-scale data mining process has been performed using data from the out-of-hospital emergency service in Malaga (Spain). Sensitivity has been the primary goal to avoid missing cases requiring special attention, but this objective has been pursued without overlooking a good trade-off with specificity. The best models can offer such a compromise between sensitivity and specificity, and show more than 80% in both metrics simultaneously. The experts validate that the modelling phase showed that the algorithms have automatically identified already known situations. This lays the groundwork for further iterations with a promising outlook. ¬© 2024 The Author(s)",10.1016/j.engappai.2024.108910,Class-imbalanced data;Emergency calls;Mental health disorders;Suicidal behaviour detection;Supervised learning;Support clinical decision-making;Data mining;Decision making;Economic and social effects;Emergency rooms;Learning algorithms;Machine learning;Software prototyping;Behavior detection;Clinical decision making;Health disorders;Imbalanced data;Mental health;Mental health disorder;Suicidal behavior detection;Emergency services
2021,"Deng, Y.; Zhang, Y.; Pan, J.",10.2147/RMHP.S304475,Optimization for Locating Emergency Medical Service Facilities: A Case Study for Health Planning from China,1. Classical Machine Learning,A. System level,,China,Socio-Economic Planning Sciences,ambulance location; ambulance service demand; challenges; data-driven; demand; emergency medical services; ems calls; forecasting; management; model; neural networks; neural-networks; optimization; prediction,Optimise station location,,,2021,,,Risk Manag Healthc Policy,1179-1594 (Print)     1179-1594 (Electronic)     1179-1594 (Linking),14.0,,1791-1802,"PURPOSE: Rational location of emergency medical service (EMS) facilities could improve access to EMS, and thus assist in saving patients' lives and improving their health outcomes. A considerable amount of spatial optimization research has been devoted to the development of models to support location planning in the context of EMS, with extensive applications in policy making around the world. However, in China, studies on the location of EMS facilities have not been paid enough attention to, let alone their practical applications. This paper conducted location optimization for EMS facilities in Chengdu, one of the biggest cities in southwest China with more than 16.5 million population, aiming to optimize the EMS system by adding (upgrading) a minimum number of EMS facilities to achieve a given population coverage. METHODS: Location optimization was conducted according to regional health policy goal for the EMS system in Chengdu, China, 2017. The nearest-neighbor approach was used to calculate the shortest travel time based on geographical information system (GIS). The location set covering model was used to formulate the optimization problem under China's context, and genetic algorithm (GA) was employed to determine the optimized locations. RESULTS: The results showed that a minimum number of 55 new facilities were required to upgrade to EMS facilities to achieve the policy goal of 90% population coverage of EMS within 15 minutes. Access to EMS also improved substantially in terms of shortest travel time after facility upgrading. The weighted median shortest travel time to EMS facilities in Chengdu decreased by 14.57%, from 6.45 minutes to 5.51 minutes. CONCLUSION: Our study showed that the solution could effectively achieve the policy goal of population coverage with a minimum number of new EMS facilities. Our findings would support evidence-based decision-making in future EMS planning in China.",10.2147/RMHP.S304475,EMS location;emergency medical care;genetic algorithm;location set covering problem
2023,"Desai, D. D.; Dey, J.; Satapathy, S. K.; Mishra, S.; Mohanty, S. N.; Mishra, P.; Panda, S. K.",10.1109/Access.2023.3284993,Optimal Ambulance Positioning for Road Accidents With Deep Embedded Clustering,1. Classical Machine Learning,D. On Scene Zone,,India,Engineering Applications of Artificial Intelligence,Behavior detection; Class-imbalanced data; Clinical decision making; Data mining; Decision making; Economic and social effects; Emergency calls; Emergency rooms; Emergency services; Health disorders; Imbalanced data; Learning algorithms; Machine learning; Mental health; Mental health disorder; Mental health disorders; Software prototyping; Suicidal behavior detection; Suicidal behaviour detection; Supervised learning; Support clinical decision-making,Ambulance positioning,,,2023,,,Ieee Access,2169-3536,11.0,,59917-59934,"The number of casualties and fatalities brought on by road accidents is one of the most significant concerns in the modern world. Instead of dispatching ambulances only at the time of demand, pre-positioning them can reduce the response time and provide prompt medical attention. Deep learning techniques hold great potential and have proven to be essential for problem-solving and decision-making in the field of healthcare services. This study introduces a deep-embedded clustering-based approach to predict optimal locations for ambulance positing. Various factors and patterns in a geographical region greatly influence the occurrence of road crashes, hence understanding such relationships while model building is crucial. The present study also emphasizes the need of preserving such patterns during model building to ensure real-time results and implements them with the help of another deep-learning-based model, Cat2Vec. The proposed framework is also compared with traditional clustering algorithms like K-means, GMM, and Agglomerative clustering. Moreover, to calculate response time and distance in real time, a novel scoring function has also been introduced for the performance evaluation of various algorithms. The proposed ambulance-positing system exhibits remarkable performance, achieving an accuracy of 95% with k-fold cross-validation and a novel distance score of 7.581 proving the use of the proposed approach is better than all the other traditional algorithms used.",10.1109/Access.2023.3284993,deep embedded clustering (dec);cat2vec;k-means;ambulance positioning;accident hotspots;severity prediction;classification
2024,"Ecker, Hannes; Adams, Niels-Benjamin; Schmitz, Michael; Wetsch, Wolfgang A.",10.1016/j.resplu.2024.100825,Feasibility of real-time compression frequency and compression depth assessment in CPR using a “machine-learning” artificial intelligence tool,5. Ensemble / Proprietary,D. On Scene Zone,,Germany,International Journal of Advanced Technology and Engineering Exploration,Emergency medical service; Ambulance allocation; Accident victims; Ambulance deployment; Trauma victims,Remote CPR quality,,,2024,,,Resuscitation Plus,26665204,20.0,,,"Background: Video assisted cardiopulmonary resuscitation (V-CPR) has demonstrated to be efficient in improving CPR quality and patient outcomes, as Emergency Medical Service (EMS) dispatchers can use the video stream of a caller for diagnostic purposes and give instructions in a CPR scenario. However, the new challenges faced by EMS dispatchers during video-guided CPR (V-CPR)‚Äîsuch as analyzing the video stream, providing feedback to the caller, and managing stress‚Äîdemand innovative solutions. This study explores the feasibility of incorporating an open-source ‚Äúmachine-learning‚Äù tool (artificial intelligence ‚Äì AI), to evaluate the feasibility and accuracy in correctly detecting the actual compression frequency and compression depth in video footage of a simulated CPR. Design: MediaPipe Pose Landmark Detection (Google LLC, Mountain View, CA, USA), an open-source AI software using ‚Äúmachine-learning‚Äù models to detect human bodies in images and videos, was programmed to assess compression frequency an depth in nine videos, showing CPR on a resuscitation manikin. Compression frequency and depth were assessed from compression to compression with AI software and were compared to the manikin's internal software (QCPR, Laerdal, Stavanger, Norway). After testing for Gaussian distribution, means of non-gaussian data were compared using Wilcoxon matched-pairs signed rank test and the Bland Altman method. Main results: MediaPipe Pose Landmark Detection successfully identified and tracked the person performing CPR in all nine video sequences. There were high levels of agreement between compression frequencies derived from AI and manikin's software. However, the precision of compression depth showed major inaccuracies and was overall not accurate. Conclusions: This feasibility study demonstrates the potential of open-source ‚Äúmachine-learning‚Äù tools in providing real-time feedback on V-CPR video sequences. In this pilot study, an open-source landmark detection AI software was able to assess CPR compression frequency with high agreement to actual frequency derived from the CPR manikin. For compression depth, its performance was not accurate, suggesting the need for adjustment. Since the software used is currently not intended for medical use, further development is necessary before the technology can be evaluated in real CPR. ¬© 2024 The Authors",10.1016/j.resplu.2024.100825,AI;Artificial Intelligence;Body-tracking;Cardiopulmonary resuscitation;CPR;EMS Dispatching;Machine Learning;ML;Pose-tracking;T-CPR;Telephone assisted cardiopulmonary resuscitation;V-CPR;Video-assisted cardiopulmonary resuscitation
2021,"Elola, A.; Aramendi, E.; Irusta, U.; Berve, P. O.; Wik, L.",10.1109/TBME.2020.3030216,Multimodal Algorithms for the Classification of Circulation States During Out-of-Hospital Cardiac Arrest,1. Classical Machine Learning,D. On Scene Zone,,Spain,Comput Biol Med,*Ambulances; *Emergency Medical Services; Ambulance travel time; Emergency medical services; Machine Learning; Mapping systems; Red Cross; Time Factors,OHCA pulse prediction,,,2021,6.0,,IEEE Trans Biomed Eng,1558-2531 (Electronic)     0018-9294 (Linking),68.0,6.0,1913-1922,"GOAL: Identifying the circulation state during out-of-hospital cardiac arrest (OHCA) is essential to determine what life-saving therapies to apply. Currently algorithms discriminate circulation (pulsed rhythms, PR) from no circulation (pulseless electrical activity, PEA), but PEA can be classified into true (TPEA) and pseudo (PPEA) depending on cardiac contractility. This study introduces multi-class algorithms to automatically determine circulation states during OHCA using the signals available in defibrillators. METHODS: A cohort of 60 OHCA cases were used to extract a dataset of 2506 5-s segments, labeled as PR (1463), PPEA (364) and TPEA (679) using the invasive blood pressure, experimentally recorded through a radial/femoral cannulation. A multimodal algorithm using features obtained from the electrocardiogram, the thoracic impedance and the capnogram was designed. A random forest model was trained to discriminate three (TPEA/PPEA/PR) and two (PEA/PR) circulation states. The models were evaluated using repeated patient-wise 5-fold cross-validation, with the unweighted mean of sensitivities (UMS) and F (1)-score as performance metrics. RESULTS: The best model for 3-class had a median (interquartile range, IQR) UMS and F (1) of 69.0% (68.0-70.1) and 61.7% (61.0-62.5), respectively. The best two class classifier had median (IQR) UMS and F (1) of 83.9% (82.9-84.5) and 76.2% (75.0-76.9), outperforming all previous proposals in over 3-points in UMS. CONCLUSIONS: The first multiclass OHCA circulation state classifier was demonstrated. The method improved previous algorithms for binary pulse/no-pulse decisions. SIGNIFICANCE: Automatic multiclass circulation state classification during OHCA could contribute to improve cardiac arrest therapy and improve survival rates.",10.1109/TBME.2020.3030216,Algorithms;*Cardiopulmonary Resuscitation;Electrocardiography;Heart Rate;Humans;*Out-of-Hospital Cardiac Arrest/therapy;Retrospective Studies
2019,"Elola, A.; Aramendi, E.; Irusta, U.; Picon, A.; Alonso, E.; Owens, P.; Idris, A.",10.3390/e21030305,Deep Neural Networks for ECG-Based Pulse Detection during Out-of-Hospital Cardiac Arrest,2. Deep Learning,D. On Scene Zone,,Spain,International Journal of Computers Communications & Control,dynamic traffic light; emergency viechle; expert system; intersections; iot; management; waiting time,Rhythm classification,,,2019,3.0,21.0,Entropy (Basel),1099-4300 (Electronic)     1099-4300 (Linking),21.0,3.0,,"The automatic detection of pulse during out-of-hospital cardiac arrest (OHCA) is necessary for the early recognition of the arrest and the detection of return of spontaneous circulation (end of the arrest). The only signal available in every single defibrillator and valid for the detection of pulse is the electrocardiogram (ECG). In this study we propose two deep neural network (DNN) architectures to detect pulse using short ECG segments (5 s), i.e., to classify the rhythm into pulseless electrical activity (PEA) or pulse-generating rhythm (PR). A total of 3914 5-s ECG segments, 2372 PR and 1542 PEA, were extracted from 279 OHCA episodes. Data were partitioned patient-wise into training (80%) and test (20%) sets. The first DNN architecture was a fully convolutional neural network, and the second architecture added a recurrent layer to learn temporal dependencies. Both DNN architectures were tuned using Bayesian optimization, and the results for the test set were compared to state-of-the art PR/PEA discrimination algorithms based on machine learning and hand crafted features. The PR/PEA classifiers were evaluated in terms of sensitivity (Se) for PR, specificity (Sp) for PEA, and the balanced accuracy (BAC), the average of Se and Sp. The Se/Sp/BAC of the DNN architectures were 94.1%/92.9%/93.5% for the first one, and 95.5%/91.6%/93.5% for the second one. Both architectures improved the performance of state of the art methods by more than 1.5 points in BAC.",10.3390/e21030305,Bayesian optimization;Ecg;convolutional neural network;deep learning;out-of-hospital cardiac arrest;pulse detection;pulseless electrical activity
2024,"Eraybar, S.; Dal, E.; Aydin, M. O.; Begenen, M.",10.4149/BLL_2024_114,"Transforming emergency triage: A preliminary, scenario-based cross-sectional study comparing artificial intelligence models and clinical expertise for enhanced accuracy",4. Natural Language,D. On Scene Zone,,Turkey,J Trauma Acute Care Surg,Humans; Pilot Projects; *4. Natural Language Processing; data; Electronic Health Records/*statistics & numerical data; Emergency Medical Services/*organization & administration/statistics & numerical; Health Care/*methods; Quality Assurance; Quality Improvement; Wounds and Injuries/diagnosis/*therapy,Triage,,,2024,,,Bratisl Lek Listy,0006-9248 (Print)     0006-9248 (Linking),125.0,11.0,738-743,"INTRODUCTION: This study examines triage judgments in emergency settings and compares the outcomes of artificial intelligence models for healthcare professionals. It discusses the disparities in precision rates between subjective evaluations by health professionals with objective assessments of AI systems. MATERIAL AND METHOD: For the analysis of the efficacy of emergency triage; 50 virtual patient scenarios had been created. Emergency medicine residents and other healthcare providers who had triage education were tasked with categorizing triage levels for virtual patient scenarios. Also artificial intelligence systems, tasked for resolving the same scenarios. All of them were asked to use three color-coded triage of the Republic of Turkey Ministry of Health. The answer keys were created by consensus of the researchers. In addition, Emergency medicine specialists were asked to evaluate the acuity level of each scenario in order to perform sub-analyses. RESULTS: The study consisted of 86 healthcare professionals, comprising 31 Emergency medicine residents (26.5%), 1 paramedic (0.9%), 5 emergency health technicians (4.3%), and 80 nurses (68.4%). Google Bard AI and OpenAI Chat GPT v.3.5 were used as artificial intelligence systems. The responses compared with the answer key to determine each groups efficacy. As planned the responses from healthcare professionals were analyzed individually for acuity level of scenarios. Emergency medicine residents and other groups of healthcare providers had significantly higher numbers of correct answers compared to Google Bard and Chat GPT (n=30.7 vs n=25.5). There was no significant difference between ChatGPT and Bard for low and high acuity scenarios (p=0.821)CONCLUSION: AI models can examine extensive data sets and make more accurate and quicker triage judgments with sophisticated algorithms. However, in this study, we found that the triage ability of artificial intelligence is not as sufficient as humans. A more efficient triage system can be developed by integrating artificial intelligence with human input, rather than solely relying on technology (Tab. 4, Ref. 41). Text in PDF www.elis.sk Keywords: emergency triage, AI applications, health technology, artificial intelligence, emergency management.",10.4149/BLL_2024_114,*Triage/methods;Humans;*Artificial Intelligence;Cross-Sectional Studies;Clinical Competence;Emergency Medicine/education;Turkey
2024,"Farhat, H.; Alinier, G.; Tluli, R.; Chakif, M.; Rekik, F. B. E.; Alcantara, M. C.; Gangaram, P.; El Aifa, K.; Makhlouf, A.; Howland, I.; Khenissi, M. C.; Chauhan, S.; Abid, C.; Castle, N.; Al Shaikh, L.; Khadhraoui, M.; Gargouri, I.; Laughton, J.",10.1097/PTS.0000000000001228,Enhancing Patient Safety in Prehospital Environment: Analyzing Patient Perspectives on Non-Transport Decisions With Natural Language Processing and Machine Learning,4. Natural Language,F. Inferential analysis,,Qatar,Sci Rep,First Aid; Humans; Ambulances; *Augmented Reality; China; Information Dissemination,,,,2024,8.0,1.0,J Patient Saf,1549-8425 (Electronic)     1549-8417 (Linking),20.0,5.0,330-339,"OBJECTIVE: This research explored the experiences and perspectives of patients declining hospital transportation after receiving prehospital emergency care using advanced computational techniques. METHOD: Between 15th June and 1st August 2023, 210 patients in Qatar, treated by Hamad Medical Corporation Ambulance Service (HMCAS) but refusing transportation to hospital, were interviewed. Key outcome variables stratified by demographics included ""reasons for refusing transport,"" ""satisfaction with HMCAS service,"" and ""postrefusal actions."" Responses underwent sentiment analysis and topic modeling using latent Dirichlet allocation. Machine learning models, such as Naive Bayes, K-nearest neighboring, random forest, and support vector machine, were used to predict patients' subsequent actions. RESULTS: Participants had an average age of 38.61 +/- 19.91 years. The chief complaints were primarily chest and abdominal pains (18.49%; n = 39). Sentiment Analysis revealed a generally favorable perception of HMCAS-provided service. Latent Dirichlet allocation identified two main topics pertaining to refusal reasons and service satisfaction. Naive Bayes and support vector machine algorithms were most effective in predicting postrefusal actions with an accuracy rate of 81.58%. CONCLUSIONS: This study highlighted the utility of Natural Language Processing and ML in enhancing our understanding of patient behaviors and sentiments in prehospital settings. These advanced computational methodologies allowed for a nuanced exploration of patient demographics and sentiments, providing insights for Quality Improvement initiatives. The study also advocates for continuously integrating automated feedback mechanisms to improve patient-centered care in the prehospital context. Continuous integration of automated feedback systems is recommended to improve prehospital patient-centered care.",10.1097/PTS.0000000000001228,Humans;*Natural Language Processing;Adult;*Machine Learning;Female;Male;*Emergency Medical Services;Middle Aged;Qatar;*Patient Safety;Patient Satisfaction;Bayes Theorem;Transportation of Patients/methods;Young Adult
2016,"Figuera, C.; Irusta, U.; Morgado, E.; Aramendi, E.; Ayala, U.; Wik, L.; Kramer-Johansen, J.; Eftestol, T.; Alonso-Atienza, F.",10.1371/journal.pone.0159654,Machine Learning Techniques for the Detection of Shockable Rhythms in Automated External Defibrillators,5. Ensemble / Proprietary,D. On Scene Zone,,Spain,EBioMedicine,Humans; *Cardiopulmonary Resuscitation; Machine Learning; Registries; Out-of-hospital cardiac arrest; Prediction model; *Out-of-Hospital Cardiac Arrest; Cicatrix; Web application,Diagnose shockable rhythms in OHCA,,,2016,,,PLoS One,1932-6203 (Electronic)     1932-6203 (Linking),11.0,7.0,e0159654,"Early recognition of ventricular fibrillation (VF) and electrical therapy are key for the survival of out-of-hospital cardiac arrest (OHCA) patients treated with automated external defibrillators (AED). AED algorithms for VF-detection are customarily assessed using Holter recordings from public electrocardiogram (ECG) databases, which may be different from the ECG seen during OHCA events. This study evaluates VF-detection using data from both OHCA patients and public Holter recordings. ECG-segments of 4-s and 8-s duration were analyzed. For each segment 30 features were computed and fed to state of the art machine learning (ML) algorithms. ML-algorithms with built-in feature selection capabilities were used to determine the optimal feature subsets for both databases. Patient-wise bootstrap techniques were used to evaluate algorithm performance in terms of sensitivity (Se), specificity (Sp) and balanced error rate (BER). Performance was significantly better for public data with a mean Se of 96.6%, Sp of 98.8% and BER 2.2% compared to a mean Se of 94.7%, Sp of 96.5% and BER 4.4% for OHCA data. OHCA data required two times more features than the data from public databases for an accurate detection (6 vs 3). No significant differences in performance were found for different segment lengths, the BER differences were below 0.5-points in all cases. Our results show that VF-detection is more challenging for OHCA data than for data from public databases, and that accurate VF-detection is possible with segments as short as 4-s.",10.1371/journal.pone.0159654,Algorithms;Automation;Databases as Topic;*Defibrillators;Electrocardiography;Humans;*Machine Learning;Out-of-Hospital Cardiac Arrest;Time Factors
2016,"Fogue, M.; Sanguesa, J. A.; Naranjo, F.; Gallardo, J.; Garrido, P.; Martinez, F. J.",10.1016/j.eswa.2016.05.028,Non-emergency patient transport services planning through genetic algorithms,3. Evolutionary,C. Response Zone,,Spain,Clin Exp Emerg Med,Machine learning; Bayes theorem; Decision trees; Intratracheal intubation; Wounds and injuries,Vehicle routing,,,2016,11.0,1.0,Expert Systems with Applications,0957-4174,61.0,,262-271,"Non-emergency Patient Transport Services (PTS) are provided by ambulance companies for patients who do not require urgent and emergency transport These patients require transport to or from a health facility like a hospital, but due to clinical requirements are unable to use private or public transport. This task is performed nowadays mainly by human operators, spending a high amount of time and resources to obtain solutions that are suboptimal in most cases. To overcome this limitation, in this paper we present NURA (Non-Urgent transport Routing Algorithm), a novel algorithm aimed at ambulance route planning. In particular, NURA relies on a genetic algorithm to explore the solution space, and it includes a scheduling algorithm to generate detailed routes for ambulances. Experimental results show that NURA is able to outperform human experts in several real scenarios, reducing the time spent by patients in ambulances during non-emergency transportations, increasing ambulance usage, while saving time and money for ambulance companies. (C) 2016 Elsevier Ltd. All rights reserved.",10.1016/j.eswa.2016.05.028,genetic algorithms;intelligent transportation systems;non-emergency patient transport services;time
2020,"Ftaimi, Sara; Mazri, Tomader",10.25046/aj0506172,Handling Priority Data in Smart Transportation System by using Support Vector Machine Algorithm,1. Classical Machine Learning,C. Response Zone,,Morocco,International Journal of Supply and Operations Management,Ambulance Routing; Disaster Response; Emergency Medical Service; Multi Objective Bees Algorithm (MOBA); NSGAII,Ambulance detection,,,2020,,,"Advances in Science, Technology and Engineering Systems Journal",24156698     24156698,5.0,6.0,1422-1427,"In an intelligent transportation system (ITS), time is a big challenge since processing a huge amount of data in a short time is very difficult, especially when the processed data is heterogeneous, consisting of a mixture of emergency data, normal data, and noise. In an ITS, an ambulance is one of the priority vehicles, and the data sent by the ambulance to the infrastructure and other vehicles must be treated first because if the ambulance does not receive a status of road from the infrastructure in time, it could take the wrong road or takes a road where there is a traffic jam has a high chance of arriving late, which could put the patient's life in danger. Prioritizing treatment of this type of data has become paramount and vital in such cases. This paper proposes modifying the big data process to include handling the intelligent transport system's urgent data type. We will add a classification step that allows us to classify the data according to the priority degree. We use the SVM algorithm of machine learning because it has given good results concerning data classification. ¬© 2020 ASTES Publishers. All rights reserved.",10.25046/aj0506172,Autonomous vehicle;Big Data;Intelligent transportation system;Machine learning algorithms;Smart city;Support Vector Machine;Vehicular Adhoc network
2022,"Funder, Jordan L.; Bowles, Kelly-Ann; Ross, Linda J.",10.12968/jpar.2022.14.9.366,Diagnostic ability of a computer algorithm to identify prehospital STEMI,5. Ensemble / Proprietary,D. On Scene Zone,,Australia,Journal of Applied and Industrial Mathematics,optimization; emergency medical service; genetic algorithm; Ambulances; Emergency medical services; Emergency services; Genetic algorithms; Stochastic systems; Average waiting-time; Genetic local search; local search; Local search (optimization); Network loading; Optimal locations; Optimisations; Road network; simulation model; Stochastic nature,Not sure if AI,,,2022,,,Journal of Paramedic Practice,1759-1376     2041-9457,14.0,9.0,366-372,"Background: Acute myocardial infarction (AMI) accounts for 43% of deaths related to ischaemic heart disease, with ST-segment elevation myocardial infarction (STEMI) accounting for 25%-40% of all AMI presentations. Given the impact of these diseases, there is a strong prehospital focus on early identification, treatment and transport of patients with acute coronary syndrome. The main aim of the STEMI system of care is to reduce the time to reperfusion of the myocardium, thereby improving morbidity and mortality rates. Therefore, the identification of STEMI by paramedics can have a dramatic effect on patients' long-term health outcomes. Ambulance Victoria paramedics play a crucial role in the care provided to AMI patients across the state, with the assistance of a computer-automated interpretation of 12-lead electrocardiograms (ECGs) to aid STEMI identification. Objectives: This study's objective is to analyse the diagnostic capability of the computer-automated interpretation to diagnose STEMI in the out-of-hospital setting. Methods: Quantitative data from January 2018 to December 2019 was sourced from the Victorian Ambulance STEMI Quality Initiative. These data were periodically matched with hospital outcome and diagnosis data from the Victorian Cardiac Outcomes Registry to compare provisional paramedic diagnoses with the final hospital diagnoses. Results: Of the 5269 cases of suspected STEMI, 765 (14.5%) could be matched with outcome data. Of these 765 cases, 88.9% were correctly identified as STEMI. The remaining 10% were categorised as either non-STEMI or unstable angina. No data were available for 1.1%. Conclusions: The diagnostic capability of the Zoll Inovise 12L interpretive algorithm to diagnose STEMI in the out-of-hospital setting appears safe and feasible. However, because of limited data matching paramedic findings with patient outcomes in hospital, no hard conclusions can be drawn. Furthermore, there is no way to ascertain how many false positives the Zoll monitor is interpreting. Further investigation is required to assess the true diagnostic capability of the Zoll Inovise 12L interpretive algorithm.",10.12968/jpar.2022.14.9.366,"ST Elevation Myocardial Infarction;Diagnosis;Predictive Value of Tests;Prehospital Care;Victoria;Signal Processing, Computer Assisted;Electrocardiography;Methods;Algorithms;Human;Ambulances;Emergency Medical Technicians;Victoria;Quantitative Studies;Resource Databases;Early Diagnosis;Early Intervention;Outcomes (Health Care);Retrospective Design;Descriptive Research;Prospective Studies;Male;Female;Middle Age;Aged;Data Analysis Software;Descriptive Statistics;Professional Development"
